unix,date,symbol,open,high,low,close,Volume EUR,Volume BTC
1638662400000,2021-12-05 00:00:00,BTC/EUR,43528.0,43991.0,42304.0,43765.0,16922534.2220289,386.66821026
1638576000000,2021-12-04 00:00:00,BTC/EUR,47426.0,47623.0,36054.0,43530.0,47996982.5928492,1102.61848364
1638489600000,2021-12-03 00:00:00,BTC/EUR,50028.374183,50996.520426,44483.0,47502.0,44922555.80899632,945.69819816
1638403200000,2021-12-02 00:00:00,BTC/EUR,50554.04166,50677.0,49273.0,50007.0,17947900.89339546,358.90777078
1638316800000,2021-12-01 00:00:00,BTC/EUR,50287.0,52125.0,49937.0,50579.663247,31074147.06063549,614.3604972
1638230400000,2021-11-30 00:00:00,BTC/EUR,51216.0,52049.74627,49424.0,50246.0,38517733.99842536,766.58309116
1638144000000,2021-11-29 00:00:00,BTC/EUR,50783.0,52231.88936,50296.0,51217.0,23417606.21961385,457.22330905
1638057600000,2021-11-28 00:00:00,BTC/EUR,48391.281088,50806.0,47230.036084,50806.0,22572798.29211246,444.29394741
1637971200000,2021-11-27 00:00:00,BTC/EUR,47537.0,48883.0,47455.0,48412.0,14686049.20273036,303.35555653
1637884800000,2021-11-26 00:00:00,BTC/EUR,52671.0,52834.0,46946.0,47579.0,44448015.27069778,934.19397782
1637798400000,2021-11-25 00:00:00,BTC/EUR,51014.0,53007.0,50906.0,52584.0,16718295.520239599,317.93502815
1637712000000,2021-11-24 00:00:00,BTC/EUR,51211.0,51371.0,49873.0,51046.0,24512799.1623015,480.20999025
1637625600000,2021-11-23 00:00:00,BTC/EUR,50087.0,51433.0,49241.0,51204.01264,29895484.629640274,583.85042672
1637539200000,2021-11-22 00:00:00,BTC/EUR,52056.0,52698.0,49583.0,50097.0,31693285.50448617,632.63839161
1637452800000,2021-11-21 00:00:00,BTC/EUR,53005.0,53234.0,51952.0,52047.0,11734486.00179084,225.45941172
1637366400000,2021-11-20 00:00:00,BTC/EUR,51526.0,53089.0,50930.0,52957.0,10220121.55191998,192.98905814
1637280000000,2021-11-19 00:00:00,BTC/EUR,50069.0,51587.0,49008.0,51528.0,24165037.655147757,468.96905867
1637193600000,2021-11-18 00:00:00,BTC/EUR,53330.0,53810.0,49729.0,50076.857124,41070411.44358281,820.14754524
1637107200000,2021-11-17 00:00:00,BTC/EUR,53048.0,53762.0,51590.0,53368.0,32418257.189489923,607.44748144
1637020800000,2021-11-16 00:00:00,BTC/EUR,55925.0,55925.0,51451.0,53105.0,45443342.94542835,855.72625827
1636934400000,2021-11-15 00:00:00,BTC/EUR,57222.0,57960.0,55750.0,55932.0,20086054.31026572,359.11561021
1636848000000,2021-11-14 00:00:00,BTC/EUR,56302.0,57221.0,55548.0,57221.0,7853600.1201182995,137.2503123
1636761600000,2021-11-13 00:00:00,BTC/EUR,56046.06126,56793.0,55409.0,56283.0,6253598.42459229,111.10989863
1636675200000,2021-11-12 00:00:00,BTC/EUR,56594.0,57187.0,54397.0,56050.0,18794796.3730995,335.32196919
1636588800000,2021-11-11 00:00:00,BTC/EUR,56454.0,57186.0,55820.0,56608.0,13011246.253475841,229.84818848
1636502400000,2021-11-10 00:00:00,BTC/EUR,57735.0,59701.68384,54355.0,56514.0,46968902.1664011,831.10206615
1636416000000,2021-11-09 00:00:00,BTC/EUR,58277.0,59079.0,57231.71051,57733.0,28473376.65955835,493.19066495
1636329600000,2021-11-08 00:00:00,BTC/EUR,54697.0,58396.0,54697.0,58275.0,38346290.76789,658.0230076
1636243200000,2021-11-07 00:00:00,BTC/EUR,53231.0,54753.62529,53149.0,54691.0,14650619.024612479,267.87988928
1636156800000,2021-11-06 00:00:00,BTC/EUR,52777.0,53306.0,52023.0,53230.0,7544695.304854101,141.73765367000001
1636070400000,2021-11-05 00:00:00,BTC/EUR,53148.0,54184.0,52529.0,52816.0,11026780.85111328,208.77728058
1635984000000,2021-11-04 00:00:00,BTC/EUR,54150.0,54294.0,52534.0,53160.0,11200239.2164164,210.68922529
1635897600000,2021-11-03 00:00:00,BTC/EUR,54633.0,54901.0,51956.0,54211.72638,22153763.239803374,408.65260561
1635811200000,2021-11-02 00:00:00,BTC/EUR,52514.0,55497.0,52304.0,54632.0,19612606.49605464,358.99484727
1635724800000,2021-11-01 00:00:00,BTC/EUR,53059.200495,54034.0,51528.254922,52499.0,22446632.37872849,427.56304651
1635638400000,2021-10-31 00:00:00,BTC/EUR,53556.0,53987.0,51903.0,53062.0,7377197.611698541,139.02976917
1635552000000,2021-10-30 00:00:00,BTC/EUR,53865.0,53934.0,52552.0,53520.328125,8016583.588827165,149.78577056
1635465600000,2021-10-29 00:00:00,BTC/EUR,51828.0,54563.0,51491.0,53863.0,24775895.86492668,459.97987236
1635379200000,2021-10-28 00:00:00,BTC/EUR,50383.0,53467.755395,49320.0,51841.917754,37404522.75032173,721.51117032
1635292800000,2021-10-27 00:00:00,BTC/EUR,51966.0,52953.0,49966.0,50390.0,20556022.2853319,407.93852521
1635206400000,2021-10-26 00:00:00,BTC/EUR,54363.0,54572.0,51552.0,51974.7055,19208393.992555335,369.57196405
1635120000000,2021-10-25 00:00:00,BTC/EUR,52271.0,54849.022992,52069.0,54348.0,23459034.3594306,431.64485095
1635033600000,2021-10-24 00:00:00,BTC/EUR,52620.0,52783.0,51116.0,52315.0,8031438.94391525,153.52076735
1634947200000,2021-10-23 00:00:00,BTC/EUR,52118.0,53030.0,51305.88202,52664.0,12384562.94848312,235.16183633
1634860800000,2021-10-22 00:00:00,BTC/EUR,53507.71545,54813.567816,51604.0,52126.0,34337861.94901738,658.74730363
1634774400000,2021-10-21 00:00:00,BTC/EUR,56634.0,57257.0,53131.0,53494.0,79717617.39635302,1490.21605033
1634688000000,2021-10-20 00:00:00,BTC/EUR,55254.0,57493.0,54562.269625,56636.0,36828432.1742028,650.2654173
1634601600000,2021-10-19 00:00:00,BTC/EUR,53385.0,55382.411595,52693.0,55230.0,37272037.092992105,674.85129627
1634515200000,2021-10-18 00:00:00,BTC/EUR,53027.710435,54113.65765,51629.0,53410.8943,31531000.444953416,590.34773445
1634428800000,2021-10-17 00:00:00,BTC/EUR,52476.0,53188.0,50911.0,53023.0,22407927.704878543,422.60769298
1634342400000,2021-10-16 00:00:00,BTC/EUR,53214.0,53739.0,51876.0,52476.0,17032464.03071352,324.57626402
1634256000000,2021-10-15 00:00:00,BTC/EUR,49472.0,54206.609796,49052.0,53202.35085,38235236.00404488,718.67568619
1634169600000,2021-10-14 00:00:00,BTC/EUR,49463.0,50451.0,49028.131545,49467.464853,16035139.631919052,324.15527417
1634083200000,2021-10-13 00:00:00,BTC/EUR,48550.54940534,49807.0,46985.5185,49474.0,15291856.92683754,309.08875221
1633996800000,2021-10-12 00:00:00,BTC/EUR,49745.0,49859.0,46694.0,48502.0,20817367.730720382,429.20637769
1633910400000,2021-10-11 00:00:00,BTC/EUR,47264.13905,50016.0,47063.0,49770.0,25076934.725157,503.8564341
1633824000000,2021-10-10 00:00:00,BTC/EUR,47499.0,48761.0,46750.0,47295.0,18833392.971846,398.2110788
1633737600000,2021-10-09 00:00:00,BTC/EUR,46611.076416,47912.11584,46373.0,47444.0,9099684.24891768,191.79842022
1633651200000,2021-10-08 00:00:00,BTC/EUR,46550.0,48495.16,46412.0,46589.478816,19456410.963261027,417.61383595
1633564800000,2021-10-07 00:00:00,BTC/EUR,47893.0,47900.0,46209.76000763,46546.0,17740604.51933112,381.14133372
1633478400000,2021-10-06 00:00:00,BTC/EUR,44416.0,48245.0,43669.0,47940.0,41555096.0027352,866.81468508
1633392000000,2021-10-05 00:00:00,BTC/EUR,42409.0,44782.0,42238.0,44431.0,28371590.670192152,638.55395265
1633305600000,2021-10-04 00:00:00,BTC/EUR,41532.60239,42594.0,40345.0,42377.4252,21171505.913094435,499.59396573
1633219200000,2021-10-03 00:00:00,BTC/EUR,41092.0,42426.08722978,40637.0,41557.0,13311850.75819811,320.32752023
1633132800000,2021-10-02 00:00:00,BTC/EUR,41530.789428,41694.0,40911.0,41093.0,9365965.08055975,227.92118075
1633046400000,2021-10-01 00:00:00,BTC/EUR,37864.0,41795.0,37417.0,41525.615004,26446624.350215495,636.87495893
1632960000000,2021-09-30 00:00:00,BTC/EUR,35814.676695,38094.0,35713.0,37800.21875,13995286.335563673,370.24352764
1632873600000,2021-09-29 00:00:00,BTC/EUR,35136.0,36534.0,34929.0,35819.0,11901218.33488413,332.25992727
1632787200000,2021-09-28 00:00:00,BTC/EUR,36066.0,36581.0,35024.0,35132.0,15386969.83980756,437.97591483
1632700800000,2021-09-27 00:00:00,BTC/EUR,36840.0,37833.22111656,36027.0,36066.02043,9414953.349457955,261.04774625
1632614400000,2021-09-26 00:00:00,BTC/EUR,36447.0,37511.0,34812.0,36840.5283,12951180.658658464,351.54709382
1632528000000,2021-09-25 00:00:00,BTC/EUR,36576.0,36677.0,35604.0,36433.0,6849734.57373251,188.00907347
1632441600000,2021-09-24 00:00:00,BTC/EUR,38236.0,38478.0,34741.0,36580.0,25526555.4674764,697.82819758
1632355200000,2021-09-23 00:00:00,BTC/EUR,37268.0,38322.0,36879.0,38237.0,15125719.02698861,395.57807953
1632268800000,2021-09-22 00:00:00,BTC/EUR,34760.0,37480.0,34640.0,37289.0,28659903.261299033,768.5886792700001
1632182400000,2021-09-21 00:00:00,BTC/EUR,36685.0,37177.0,33833.509956,34759.0,36606238.28358534,1053.14417226
1632096000000,2021-09-20 00:00:00,BTC/EUR,40310.0,40353.0,36305.0,36691.0,25107945.682166483,684.30802328
1632009600000,2021-09-19 00:00:00,BTC/EUR,41186.0,41250.0,39944.0,40237.0,6725595.49737813,167.14952649
1631923200000,2021-09-18 00:00:00,BTC/EUR,40337.0,41633.0,40139.0,41227.0,4638020.8607828,112.4995964
1631836800000,2021-09-17 00:00:00,BTC/EUR,40612.0,40925.0,39879.0,40336.0,8451170.49972432,209.51930037
1631750400000,2021-09-16 00:00:00,BTC/EUR,40742.0,41157.0,39989.0,40620.0,10112982.75324,248.965602
1631664000000,2021-09-15 00:00:00,BTC/EUR,39931.0,41001.0,39576.0,40756.0,11805655.44198164,289.66668569
1631577600000,2021-09-14 00:00:00,BTC/EUR,38076.0,40028.0,37857.9945,39956.0,10888347.11836144,272.50843724
1631491200000,2021-09-13 00:00:00,BTC/EUR,38972.0,39740.0,36833.0,38066.0,24131222.58567132,633.93113502
1631404800000,2021-09-12 00:00:00,BTC/EUR,38232.0,39338.0,37897.0,38973.0,8053246.20585969,206.63654853
1631318400000,2021-09-11 00:00:00,BTC/EUR,37982.0,38926.0,37877.0,38231.0,7679125.90242901,200.86123571
1631232000000,2021-09-10 00:00:00,BTC/EUR,39257.0,39800.0,37386.0,37984.20678,15040296.885010755,395.96185257
1631145600000,2021-09-09 00:00:00,BTC/EUR,38958.0,40062.0,38519.0,39227.0,11898327.63356176,303.31984688
1631059200000,2021-09-08 00:00:00,BTC/EUR,39613.77934955,39970.0,37620.0,38983.0,22704195.49569164,582.41273108
1630972800000,2021-09-07 00:00:00,BTC/EUR,44364.0,44510.382136,36445.0,39475.0,55870000.20586976,1415.32616101
1630886400000,2021-09-06 00:00:00,BTC/EUR,43564.0,44449.60409388,43032.0,44363.0,20428999.61275855,460.49635085
